geocode,municipio,uf,disease,period,zone,cases
170030, Aguiarnópolis,17,VL,2015-2019,rural,0
170035, Aliança do Tocantins,17,VL,2015-2019,rural,0
170040, Almas,17,VL,2015-2019,rural,0
170070, Alvorada,17,VL,2015-2019,rural,0
170100, Ananás,17,VL,2015-2019,rural,0
170105, Angico,17,VL,2015-2019,rural,0
170110, Aparecida do Rio Negro,17,VL,2015-2019,rural,0
170130, Aragominas,17,VL,2015-2019,rural,1
170190, Araguacema,17,VL,2015-2019,rural,1
170200, Araguaçu,17,VL,2015-2019,rural,0
170210, Araguaína,17,VL,2015-2019,rural,4
170215, Araguanã,17,VL,2015-2019,rural,2
170220, Araguatins,17,VL,2015-2019,rural,4
170230, Arapoema,17,VL,2015-2019,rural,0
170240, Arraias,17,VL,2015-2019,rural,2
170255, Augustinópolis,17,VL,2015-2019,rural,3
170270, Aurora do Tocantins,17,VL,2015-2019,rural,1
170290, Axixá do Tocantins,17,VL,2015-2019,rural,2
170300, Babaçulândia,17,VL,2015-2019,rural,5
170305, Bandeirantes do Tocantins,17,VL,2015-2019,rural,0
170307, Barra do Ouro,17,VL,2015-2019,rural,1
170310, Barrolândia,17,VL,2015-2019,rural,0
170320, Bernardo Sayão,17,VL,2015-2019,rural,0
170330, Bom Jesus do Tocantins,17,VL,2015-2019,rural,2
170370, Brejinho de Nazaré,17,VL,2015-2019,rural,0
170380, Buriti do Tocantins,17,VL,2015-2019,rural,1
170384, Campos Lindos,17,VL,2015-2019,rural,0
170386, Cariri do Tocantins,17,VL,2015-2019,rural,1
170388, Carmolândia,17,VL,2015-2019,rural,2
170389, Carrasco Bonito,17,VL,2015-2019,rural,2
170510, Chapada da Natividade,17,VL,2015-2019,rural,1
170460, Chapada de Areia,17,VL,2015-2019,rural,0
170550, Colinas do Tocantins,17,VL,2015-2019,rural,1
171670, Colméia,17,VL,2015-2019,rural,0
170555, Combinado,17,VL,2015-2019,rural,0
170560, Conceição do Tocantins,17,VL,2015-2019,rural,2
170600, Couto Magalhães,17,VL,2015-2019,rural,0
170610, Cristalândia,17,VL,2015-2019,rural,1
170625, Crixás do Tocantins,17,VL,2015-2019,rural,1
170650, Darcinópolis,17,VL,2015-2019,rural,1
170700, Dianópolis,17,VL,2015-2019,rural,1
170710, Divinópolis do Tocantins,17,VL,2015-2019,rural,0
170720, Dois Irmãos do Tocantins,17,VL,2015-2019,rural,0
170730, Dueré,17,VL,2015-2019,rural,0
170740, Esperantina,17,VL,2015-2019,rural,0
170755, Fátima,17,VL,2015-2019,rural,1
170770, Filadélfia,17,VL,2015-2019,rural,0
170820, Formoso do Araguaia,17,VL,2015-2019,rural,1
170830, Goianorte,17,VL,2015-2019,rural,2
170900, Goiatins,17,VL,2015-2019,rural,4
170930, Guaraí,17,VL,2015-2019,rural,1
170950, Gurupi,17,VL,2015-2019,rural,0
171050, Itacajá,17,VL,2015-2019,rural,0
171070, Itaguatins,17,VL,2015-2019,rural,1
171110, Itaporã do Tocantins,17,VL,2015-2019,rural,0
171150, Jaú do Tocantins,17,VL,2015-2019,rural,2
171180, Juarina,17,VL,2015-2019,rural,0
171200, Lajeado,17,VL,2015-2019,rural,1
171215, Lavandeira,17,VL,2015-2019,rural,0
171240, Lizarda,17,VL,2015-2019,rural,0
171245, Luzinópolis,17,VL,2015-2019,rural,0
171250, Marianópolis do Tocantins,17,VL,2015-2019,rural,1
171270, Mateiros,17,VL,2015-2019,rural,2
171280, Maurilândia do Tocantins,17,VL,2015-2019,rural,0
171320, Miracema do Tocantins,17,VL,2015-2019,rural,2
171330, Miranorte,17,VL,2015-2019,rural,1
171360, Monte do Carmo,17,VL,2015-2019,rural,2
171370, Monte Santo do Tocantins,17,VL,2015-2019,rural,1
171395, Muricilândia,17,VL,2015-2019,rural,0
171420, Natividade,17,VL,2015-2019,rural,3
171430, Nazaré,17,VL,2015-2019,rural,0
171488, Nova Olinda,17,VL,2015-2019,rural,1
172100, Palmas,17,VL,2015-2019,rural,4
