geocode,municipio,uf,disease,period,rural,urban,total
171650, Pedro Afonso,17,Dengue,2004-2008,5,118,123
171660, Peixe,17,Dengue,2004-2008,21,210,231
171665, Pequizeiro,17,Dengue,2004-2008,28,133,161
171720, Piraquê,17,Dengue,2004-2008,4,6,10
171750, Pium,17,Dengue,2004-2008,35,130,165
171780, Ponte Alta do Bom Jesus,17,Dengue,2004-2008,12,14,26
171790, Ponte Alta do Tocantins,17,Dengue,2004-2008,1,33,34
171800, Porto Alegre do Tocantins,17,Dengue,2004-2008,3,7,10
171820, Porto Nacional,17,Dengue,2004-2008,37,777,814
171830, Praia Norte,17,Dengue,2004-2008,16,42,58
171845, Pugmil,17,Dengue,2004-2008,6,55,61
171855, Riachinho,17,Dengue,2004-2008,49,113,162
171870, Rio dos Bois,17,Dengue,2004-2008,14,63,77
171875, Rio Sono,17,Dengue,2004-2008,4,8,12
171880, Sampaio,17,Dengue,2004-2008,8,115,123
171884, Sandolândia,17,Dengue,2004-2008,9,24,33
171886, Santa Fé do Araguaia,17,Dengue,2004-2008,1,15,16
171888, Santa Maria do Tocantins,17,Dengue,2004-2008,4,44,48
171890, Santa Rosa do Tocantins,17,Dengue,2004-2008,90,369,459
171900, Santa Tereza do Tocantins,17,Dengue,2004-2008,1,10,11
172000, Santa Terezinha do Tocantins,17,Dengue,2004-2008,5,27,32
172010, São Bento do Tocantins,17,Dengue,2004-2008,27,75,102
172015, São Félix do Tocantins,17,Dengue,2004-2008,1,8,9
172020, São Miguel do Tocantins,17,Dengue,2004-2008,55,114,169
172025, São Salvador do Tocantins,17,Dengue,2004-2008,10,275,285
172030, São Sebastião do Tocantins,17,Dengue,2004-2008,1,203,204
172049, São Valério,17,Dengue,2004-2008,5,31,36
172065, Silvanópolis,17,Dengue,2004-2008,8,118,126
172080, Sítio Novo do Tocantins,17,Dengue,2004-2008,18,106,124
172085, Sucupira,17,Dengue,2004-2008,9,58,67
172090, Taguatinga,17,Dengue,2004-2008,20,318,338
172093, Taipas do Tocantins,17,Dengue,2004-2008,1,5,6
172110, Tocantínia,17,Dengue,2004-2008,12,165,177
172120, Tocantinópolis,17,Dengue,2004-2008,100,1174,1274
172125, Tupirama,17,Dengue,2004-2008,1,2,3
172130, Tupiratins,17,Dengue,2004-2008,3,4,7
172208, Wanderlândia,17,Dengue,2004-2008,28,108,136
172210, Xambioá,17,Dengue,2004-2008,10,180,190
210005, Açailândia,21,Dengue,2004-2008,16,191,207
210020, Alcântara,21,Dengue,2004-2008,17,15,32
210040, Altamira do Maranhão,21,Dengue,2004-2008,3,57,60
210043, Alto Alegre do Maranhão,21,Dengue,2004-2008,2,6,8
210047, Alto Alegre do Pindaré,21,Dengue,2004-2008,35,214,249
210050, Alto Parnaíba,21,Dengue,2004-2008,5,35,40
210055, Amapá do Maranhão,21,Dengue,2004-2008,1,9,10
210060, Amarante do Maranhão,21,Dengue,2004-2008,36,97,133
210070, Anajatuba,21,Dengue,2004-2008,5,9,14
210083, Apicum-Açu,21,Dengue,2004-2008,12,21,33
210087, Araguanã,21,Dengue,2004-2008,3,25,28
210090, Araioses,21,Dengue,2004-2008,NA,NA,1
210095, Arame,21,Dengue,2004-2008,16,26,42
210100, Arari,21,Dengue,2004-2008,1,2,3
210110, Axixá,21,Dengue,2004-2008,44,5,49
210120, Bacabal,21,Dengue,2004-2008,21,166,187
210125, Bacabeira,21,Dengue,2004-2008,30,65,95
210130, Bacuri,21,Dengue,2004-2008,10,22,32
210140, Balsas,21,Dengue,2004-2008,34,309,343
210160, Barra do Corda,21,Dengue,2004-2008,208,258,466
210170, Barreirinhas,21,Dengue,2004-2008,4,2,6
210173, Belágua,21,Dengue,2004-2008,0,1,1
210190, Bequimão,21,Dengue,2004-2008,42,44,86
210193, Bernardo do Mearim,21,Dengue,2004-2008,3,6,9
210197, Boa Vista do Gurupi,21,Dengue,2004-2008,1,61,62
210200, Bom Jardim,21,Dengue,2004-2008,20,55,75
210203, Bom Jesus das Selvas,21,Dengue,2004-2008,24,90,114
210207, Bom Lugar,21,Dengue,2004-2008,2,7,9
210215, Brejo de Areia,21,Dengue,2004-2008,11,3,14
210220, Buriti,21,Dengue,2004-2008,1,0,1
210230, Buriti Bravo,21,Dengue,2004-2008,3,59,62
210232, Buriticupu,21,Dengue,2004-2008,17,21,38
210237, Cachoeira Grande,21,Dengue,2004-2008,13,149,162
210240, Cajapió,21,Dengue,2004-2008,5,5,10
210250, Cajari,21,Dengue,2004-2008,12,2,14
210255, Campestre do Maranhão,21,Dengue,2004-2008,7,24,31
