geocode,municipio,uf,disease,period,rural,urban,total
170070, Alvorada,17,VL,2015-2019,0,1,1
170100, Ananás,17,VL,2015-2019,0,11,11
170105, Angico,17,VL,2015-2019,0,3,3
170110, Aparecida do Rio Negro,17,VL,2015-2019,0,2,2
170130, Aragominas,17,VL,2015-2019,1,5,6
170190, Araguacema,17,VL,2015-2019,1,2,3
170200, Araguaçu,17,VL,2015-2019,0,2,2
170210, Araguaína,17,VL,2015-2019,4,190,194
170215, Araguanã,17,VL,2015-2019,2,8,10
170220, Araguatins,17,VL,2015-2019,4,25,29
170230, Arapoema,17,VL,2015-2019,0,1,1
170240, Arraias,17,VL,2015-2019,2,4,6
170255, Augustinópolis,17,VL,2015-2019,3,15,18
170270, Aurora do Tocantins,17,VL,2015-2019,1,0,1
170290, Axixá do Tocantins,17,VL,2015-2019,2,6,8
170300, Babaçulândia,17,VL,2015-2019,5,1,6
170305, Bandeirantes do Tocantins,17,VL,2015-2019,0,3,3
170307, Barra do Ouro,17,VL,2015-2019,1,0,1
170310, Barrolândia,17,VL,2015-2019,0,5,5
170320, Bernardo Sayão,17,VL,2015-2019,0,1,1
170330, Bom Jesus do Tocantins,17,VL,2015-2019,2,1,3
170370, Brejinho de Nazaré,17,VL,2015-2019,0,2,2
170380, Buriti do Tocantins,17,VL,2015-2019,1,8,9
170384, Campos Lindos,17,VL,2015-2019,0,2,2
170386, Cariri do Tocantins,17,VL,2015-2019,1,0,1
170388, Carmolândia,17,VL,2015-2019,2,8,10
170389, Carrasco Bonito,17,VL,2015-2019,2,2,4
170510, Chapada da Natividade,17,VL,2015-2019,1,1,2
170460, Chapada de Areia,17,VL,2015-2019,0,1,1
170550, Colinas do Tocantins,17,VL,2015-2019,1,40,41
171670, Colméia,17,VL,2015-2019,0,5,5
170555, Combinado,17,VL,2015-2019,0,1,1
170560, Conceição do Tocantins,17,VL,2015-2019,2,4,6
170600, Couto Magalhães,17,VL,2015-2019,0,10,10
170610, Cristalândia,17,VL,2015-2019,1,2,3
170625, Crixás do Tocantins,17,VL,2015-2019,1,0,1
170650, Darcinópolis,17,VL,2015-2019,1,14,15
170700, Dianópolis,17,VL,2015-2019,1,8,9
170710, Divinópolis do Tocantins,17,VL,2015-2019,0,7,7
170720, Dois Irmãos do Tocantins,17,VL,2015-2019,0,6,6
170730, Dueré,17,VL,2015-2019,0,1,1
170740, Esperantina,17,VL,2015-2019,0,7,7
170755, Fátima,17,VL,2015-2019,1,0,1
170770, Filadélfia,17,VL,2015-2019,0,3,3
170820, Formoso do Araguaia,17,VL,2015-2019,1,3,4
170830, Goianorte,17,VL,2015-2019,2,1,3
170900, Goiatins,17,VL,2015-2019,4,2,6
170930, Guaraí,17,VL,2015-2019,1,12,13
170950, Gurupi,17,VL,2015-2019,0,57,57
171050, Itacajá,17,VL,2015-2019,0,3,3
171070, Itaguatins,17,VL,2015-2019,1,11,12
